system:index,NDVI,type
1_1_LT05_187023_19840426_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19840426_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19840426_00000000000000000002,,deciduous
1_1_LT05_187023_19840426_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19840426_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19840426_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19840426_00000000000000000006,0.024162735995818297,wetlands
1_1_LT05_187023_19840731_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19840731_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19840731_00000000000000000002,,deciduous
1_1_LT05_187023_19840731_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19840731_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19840731_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19840731_00000000000000000006,0.8212220696132547,wetlands
1_1_LT05_187023_19841019_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19841019_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19841019_00000000000000000002,,deciduous
1_1_LT05_187023_19841019_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19841019_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19841019_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19841019_00000000000000000006,0.42301883328051365,wetlands
1_1_LT05_187023_19841104_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19841104_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19841104_00000000000000000002,,deciduous
1_1_LT05_187023_19841104_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19841104_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19841104_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19841104_00000000000000000006,0.28672129291246373,wetlands
1_1_LT05_187023_19851006_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19851006_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19851006_00000000000000000002,,deciduous
1_1_LT05_187023_19851006_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19851006_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19851006_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19851006_00000000000000000006,0.5543673157618343,wetlands
1_1_LT05_187023_19860227_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19860227_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19860227_00000000000000000002,,deciduous
1_1_LT05_187023_19860227_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19860227_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19860227_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19860227_00000000000000000006,,wetlands
1_1_LT05_187023_19860416_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19860416_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19860416_00000000000000000002,,deciduous
1_1_LT05_187023_19860416_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19860416_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19860416_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19860416_00000000000000000006,0.21575577986068997,wetlands
1_1_LT05_187023_19860502_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19860502_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19860502_00000000000000000002,,deciduous
1_1_LT05_187023_19860502_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19860502_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19860502_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19860502_00000000000000000006,0.3718162711520971,wetlands
1_1_LT05_187023_19860619_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19860619_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19860619_00000000000000000002,,deciduous
1_1_LT05_187023_19860619_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19860619_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19860619_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19860619_00000000000000000006,0.7723746649602119,wetlands
1_1_LT05_187023_19860806_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19860806_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19860806_00000000000000000002,,deciduous
1_1_LT05_187023_19860806_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19860806_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19860806_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19860806_00000000000000000006,0.7827679063138422,wetlands
1_1_LT05_187023_19860923_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19860923_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19860923_00000000000000000002,,deciduous
1_1_LT05_187023_19860923_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19860923_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19860923_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19860923_00000000000000000006,0.6520565564457849,wetlands
1_1_LT05_187023_19861025_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19861025_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19861025_00000000000000000002,,deciduous
1_1_LT05_187023_19861025_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19861025_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19861025_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19861025_00000000000000000006,0.26294062499873405,wetlands
1_1_LT05_187023_19870129_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870129_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870129_00000000000000000002,,deciduous
1_1_LT05_187023_19870129_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870129_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870129_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870129_00000000000000000006,,wetlands
1_1_LT05_187023_19870302_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870302_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870302_00000000000000000002,,deciduous
1_1_LT05_187023_19870302_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870302_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870302_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870302_00000000000000000006,,wetlands
1_1_LT05_187023_19870419_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870419_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870419_00000000000000000002,,deciduous
1_1_LT05_187023_19870419_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870419_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870419_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870419_00000000000000000006,0.19693890916690868,wetlands
1_1_LT05_187023_19870505_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870505_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870505_00000000000000000002,,deciduous
1_1_LT05_187023_19870505_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870505_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870505_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870505_00000000000000000006,0.251412218837612,wetlands
1_1_LT05_187023_19870622_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870622_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870622_00000000000000000002,,deciduous
1_1_LT05_187023_19870622_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870622_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870622_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870622_00000000000000000006,0.7791983996477788,wetlands
1_1_LT05_187023_19870708_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870708_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870708_00000000000000000002,,deciduous
1_1_LT05_187023_19870708_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870708_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870708_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870708_00000000000000000006,0.7613054996047748,wetlands
1_1_LT05_187023_19870825_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870825_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870825_00000000000000000002,,deciduous
1_1_LT05_187023_19870825_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870825_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870825_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870825_00000000000000000006,0.7674981286841094,wetlands
1_1_LT05_187023_19870910_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870910_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870910_00000000000000000002,,deciduous
1_1_LT05_187023_19870910_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870910_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870910_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870910_00000000000000000006,0.5050802769185568,wetlands
1_1_LT05_187023_19870926_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19870926_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19870926_00000000000000000002,,deciduous
1_1_LT05_187023_19870926_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19870926_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19870926_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19870926_00000000000000000006,0.689041339867725,wetlands
1_1_LT05_187023_19871012_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19871012_00000000000000000001,,conifer_not_disturbed
1_1_LT05_187023_19871012_00000000000000000002,,deciduous
1_1_LT05_187023_19871012_00000000000000000003,,grassland_mowed
1_1_LT05_187023_19871012_00000000000000000004,,fields_cultivated
1_1_LT05_187023_19871012_00000000000000000005,,fields_abandoned
1_1_LT05_187023_19871012_00000000000000000006,0.5190012083419924,wetlands
1_1_LT05_187023_19871113_00000000000000000000,,conifer_disturbed
1_1_LT05_187023_19871113_00000000000000000001,,conifer_not_disturbed
